[2026-05-06 09:09:34,957] INFO: --- IRON CORE ENGINE v3.0 ACTIVE ---
[2026-05-06 09:09:43,729] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:09:43,836] INFO: SCANNING: USDJPY | PRICE: 157.68 | BIAS: BULLISH | ER: 0.21 | VEL: 1.25
[2026-05-06 09:09:43,836] INFO:  >> [GUARD] USDJPY position already active. Skipping.
[2026-05-06 09:09:43,853] INFO: SCANNING: DE30 | PRICE: 24523.10 | BIAS: BEARISH | ER: 0.44 | VEL: 0.87
[2026-05-06 09:09:43,853] INFO:  >> [GUARD] DE30 position already active. Skipping.
[2026-05-06 09:09:54,086] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:09:54,091] INFO:  >> [SAFE_HANDOVER] Syncing XAUUSD SL to 4619.41605
[2026-05-06 09:09:54,121] INFO:  >> [SAFE_HANDOVER] Syncing GBPUSD SL to 1.35682
[2026-05-06 09:09:54,278] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.51 | VEL: 0.59
[2026-05-06 09:09:55,367] WARNING:  !! [SAFETY_CLAMP] Capping 0.13 -> 0.05 for EURUSD
[2026-05-06 09:09:55,367] INFO: VAULT_PASS [GAMMA]: EURUSD 0.05 (Risk: 0.292%)
[2026-05-06 09:09:55,367] INFO:  >> [EMPIRICAL] Using Optimized Targets: SL 1.5x | TP 2.0x
[2026-05-06 09:09:55,586] INFO:  !! [SAFETY_PASS] GAMMA validated for EURUSD BUY 0.05
[2026-05-06 09:09:55,589] INFO:  >> [GAMMA_STRIKE] Safety Verified. Executing BUY EURUSD @ 1.17235 | LOT: 0.05 | SL: 1.1708735714285714 | TP: 1.1743185714285713
[2026-05-06 09:09:56,632] INFO:  >> [RELAY] Signal relayed to Telegram.
[2026-05-06 09:09:56,632] INFO:  >> [SUCCESS] EURUSD BUY order completed.
[2026-05-06 09:10:06,854] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:10:06,856] INFO:  >> [SAFE_HANDOVER] Syncing XAUUSD SL to 4619.41605
[2026-05-06 09:10:06,968] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.51 | VEL: 0.57
[2026-05-06 09:10:06,968] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:10:17,246] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:10:17,246] INFO:  >> [SAFE_HANDOVER] Syncing XAUUSD SL to 4619.41605
[2026-05-06 09:10:17,342] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.51 | VEL: 0.55
[2026-05-06 09:10:17,343] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:10:27,601] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
